name,readable,writable,unique,data
memory,true,true,true,memory
handle,true,true,true,handle
null,false,false,true,null
binary,true,true,true,binary
concept,false,false,false,null
template,false,false,false,null
pipe,false,false,false,null
multitude,false,false,false,null
data,false,false,false,null
0,false,false,true,null
1,false,false,true,null
2,false,false,true,null
3,false,false,true,null
4,false,false,true,null
5,false,false,true,null
6,false,false,true,null
7,false,false,true,null
8,false,false,true,null
9,false,false,true,null
name,true,false,false,memory
true,false,false,true,null
false,false,false,true,null
readme,false,false,false,null
file,true,true,false,handle
